net_id,from_id,to_id,value
2005-06-30,GB,CL,81
2005-06-30,GB,TW,3349
2005-06-30,GB,FR,229243
2005-06-30,GB,DE,716293
2005-06-30,GB,GR,4248
2005-06-30,GB,IT,30790
2005-06-30,GB,JP,91588
2005-06-30,GB,NL,226540
2005-06-30,GB,PT,7946
2005-06-30,GB,ES,254115
2005-06-30,GB,SE,35550
2005-06-30,GB,CH,222378
2005-06-30,GB,TR,1325
2005-06-30,GB,US,130470
2005-06-30,US,5A,4406334
2005-06-30,US,AU,23437
2005-06-30,US,AT,20434
2005-06-30,US,BE,68117
2005-06-30,US,CL,667
2005-06-30,US,TW,34276
2005-06-30,US,FR,435915
2005-06-30,US,DE,553022
2005-06-30,US,GR,6972
2005-06-30,US,IT,32232
2005-06-30,US,JP,574108
2005-06-30,US,NL,416871
2005-06-30,US,PT,6504
2005-06-30,US,ES,57806
2005-06-30,US,SE,34018
2005-06-30,US,CH,983601
2005-06-30,US,TR,1198
2005-06-30,US,GB,860778
2005-09-30,AU,5A,309415
2005-09-30,AU,AT,1615
2005-09-30,AU,BE,5865
2005-09-30,AU,CL,14
2005-09-30,AU,TW,2259
2005-09-30,AU,FR,28148
2005-09-30,AU,DE,29995
2005-09-30,AU,GR,21
2005-09-30,AU,IT,775
2005-09-30,AU,JP,27190
2005-09-30,AU,NL,53135
2005-09-30,AU,PT,75
2005-09-30,AU,ES,1715
2005-09-30,AU,SE,2319
2005-09-30,AU,TR,10
2005-09-30,AU,GB,86063
2005-09-30,AU,US,31386
2005-09-30,AT,5A,238508
2005-09-30,AT,AU,684
2005-09-30,AT,BE,6125
2005-09-30,AT,CL,7
2005-09-30,AT,TW,252
2005-09-30,AT,FR,7914
2005-09-30,AT,DE,145059
2005-09-30,AT,GR,1284
2005-09-30,AT,IT,4023
2005-09-30,AT,JP,5282
2005-09-30,AT,NL,11480
2005-09-30,AT,PT,928
2005-09-30,AT,ES,3184
2005-09-30,AT,SE,1233
2005-09-30,AT,CH,12485
2005-09-30,AT,TR,794
2005-09-30,AT,GB,13508
2005-09-30,AT,US,8024
2005-09-30,BE,5A,362039
2005-09-30,BE,AU,988
2005-09-30,BE,AT,1847
2005-09-30,BE,CL,1
2005-09-30,BE,TW,528
2005-09-30,BE,FR,65409
2005-09-30,BE,DE,53323
2005-09-30,BE,GR,1466
2005-09-30,BE,IT,5962
2005-09-30,BE,JP,13852
2005-09-30,BE,PT,1661
2005-09-30,BE,ES,12704
2005-09-30,BE,SE,2449
2005-09-30,BE,TR,228
2005-09-30,BE,GB,57838
2005-09-30,BE,US,20326
2005-09-30,CA,5A,233914
2005-09-30,CA,AU,2175
2005-09-30,CA,AT,822
2005-09-30,CA,BE,3715
2005-09-30,CA,CL,132
2005-09-30,CA,TW,1085
2005-09-30,CA,FR,16141
2005-09-30,CA,DE,24069
2005-09-30,CA,GR,485
2005-09-30,CA,IT,722
2005-09-30,CA,JP,27156
2005-09-30,CA,NL,26691
2005-09-30,CA,PT,494
2005-09-30,CA,ES,1435
2005-09-30,CA,SE,910
2005-09-30,CA,CH,14012
2005-09-30,CA,TR,86
2005-09-30,CA,GB,65725
2005-09-30,CA,US,38954
2005-09-30,CL,5A,52544
2005-09-30,CL,AT,162
2005-09-30,CL,BE,186
2005-09-30,CL,TW,92
2005-09-30,CL,FR,1572
2005-09-30,CL,DE,2360
2005-09-30,CL,IT,476
2005-09-30,CL,JP,1166
2005-09-30,CL,PT,31
2005-09-30,CL,ES,29665
2005-09-30,CL,SE,7
2005-09-30,CL,GB,1870
2005-09-30,CL,US,8517
2005-09-30,FI,5A,128015
2005-09-30,FI,AU,181
2005-09-30,FI,AT,1026
2005-09-30,FI,BE,2536
2005-09-30,FI,CL,6
2005-09-30,FI,TW,37
2005-09-30,FI,FR,4013
2005-09-30,FI,DE,16116
2005-09-30,FI,GR,13
2005-09-30,FI,IT,512
2005-09-30,FI,JP,3606
2005-09-30,FI,NL,5158
2005-09-30,FI,PT,1068
2005-09-30,FI,ES,1825
2005-09-30,FI,SE,77089
2005-09-30,FI,TR,1
2005-09-30,FI,GB,5768
2005-09-30,FI,US,3089
2005-09-30,FR,5A,781764
2005-09-30,FR,AU,3786
2005-09-30,FR,AT,6434
2005-09-30,FR,BE,67963
2005-09-30,FR,CL,122
2005-09-30,FR,TW,3198
2005-09-30,FR,DE,173779
2005-09-30,FR,GR,1438
2005-09-30,FR,IT,21389
2005-09-30,FR,JP,79171
2005-09-30,FR,NL,96941
2005-09-30,FR,PT,7404
2005-09-30,FR,ES,38982
2005-09-30,FR,SE,5171
2005-09-30,FR,CH,60812
2005-09-30,FR,TR,555
2005-09-30,FR,GB,136205
2005-09-30,FR,US,39925
2005-09-30,DE,5A,1272131
2005-09-30,DE,AU,11274
2005-09-30,DE,AT,41027
2005-09-30,DE,BE,53244
2005-09-30,DE,CL,49
2005-09-30,DE,TW,3949
2005-09-30,DE,FR,116018
2005-09-30,DE,GR,1503
2005-09-30,DE,IT,37323
2005-09-30,DE,JP,99361
2005-09-30,DE,NL,206511
2005-09-30,DE,PT,7432
2005-09-30,DE,ES,46380
2005-09-30,DE,SE,83880
2005-09-30,DE,CH,101560
2005-09-30,DE,TR,3234
2005-09-30,DE,GB,182316
2005-09-30,DE,US,121312
2005-09-30,GR,5A,168466
2005-09-30,GR,AU,79
2005-09-30,GR,AT,4611
2005-09-30,GR,BE,13305
2005-09-30,GR,CL,6
2005-09-30,GR,TW,48
2005-09-30,GR,FR,15639
2005-09-30,GR,DE,37138
2005-09-30,GR,IT,4725
2005-09-30,GR,JP,3331
2005-09-30,GR,NL,16331
2005-09-30,GR,PT,2756
2005-09-30,GR,ES,808
2005-09-30,GR,SE,406
2005-09-30,GR,TR,30
2005-09-30,GR,GB,8407
2005-09-30,GR,US,7642
2005-09-30,IN,5A,80426
2005-09-30,IN,AU,478
2005-09-30,IN,AT,318
2005-09-30,IN,BE,709
2005-09-30,IN,CL,13
2005-09-30,IN,TW,1430
2005-09-30,IN,FR,5095
2005-09-30,IN,DE,7724
2005-09-30,IN,GR,5
2005-09-30,IN,IT,589
2005-09-30,IN,JP,4837
2005-09-30,IN,PT,19
2005-09-30,IN,ES,13
2005-09-30,IN,SE,128
2005-09-30,IN,GB,20348
2005-09-30,IN,US,20194
2005-09-30,IE,5A,394503
2005-09-30,IE,AU,1011
2005-09-30,IE,AT,4942
2005-09-30,IE,BE,22755
2005-09-30,IE,TW,965
2005-09-30,IE,FR,28362
2005-09-30,IE,DE,108124
2005-09-30,IE,GR,862
2005-09-30,IE,IT,13122
2005-09-30,IE,JP,17564
2005-09-30,IE,NL,38292
2005-09-30,IE,PT,2588
2005-09-30,IE,ES,9135
2005-09-30,IE,SE,2627
2005-09-30,IE,CH,13031
2005-09-30,IE,TR,613
2005-09-30,IE,GB,109137
2005-09-30,IE,US,10342
